Component,Link,Quantity,Price
256x WS2815 LEDs (60LEDs/m strips),https://www.btf-lighting.com/products/ws2815-rgb-addressable-led-strip-dc12v?variant=47607344726242,1,$41.99
Poypropylene Sheet 0.5mm (132.4mm x 14.5mm),https://www.ebay.com/itm/406446159505,32,$19.70
5mm aluminum base plate,,1,
Level shifter 74HCT125 convert 3.3V logic up to 5V,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT125N/13483078,1,$0.92
"26AWG Wire (Black, Red, Green)",https://www.adafruit.com/product/2513,3,$13.95
Heatsink (300x140x20),https://www.walmart.com/ip/Aluminum-Large-Heatsink-300x140x20mm-Heat-Sink-Cooling-Radiators-for-Computer-LED/19318660156,1,$28.09
F0.5a Fuse,https://www.ebay.com/itm/358421553078,16,$14.77
Wire Shrink Wrap Kit,https://www.adafruit.com/product/4559,1,$9.95
"16 AWG Wire (Red, Black)",https://www.remingtonindustries.com/hook-up-wire/hook-up-wire-16-awg-stranded-solid-10-colors-7-sizes-available/?sku=16UL1007SLDBLA25,1,$12.18
LM2596 Voltage Regulator,https://www.pcb-hero.com/products/141892,1,$0.71
Raspberry pi pico 2w,https://www.sparkfun.com/raspberry-pi-pico-2-w.html?src=raspberrypi,1,$7.70
Power Supply Unit,https://www.walmart.com/ip/Mean-Well-LRS-100-12-Power-Supply-100W-12V/5585345774,1,$16.50
c1 100nF,https://www.digikey.com/en/products/detail/tdk/FK20C0G1H104JN000/2050105,1,$1.06
10A Blade Fuse,https://www.walmart.com/ip/Cooper-Bussman-ATC-10A-Blade-Fuses-5-Count/20971317,1,$4.86
16 AWG Terminal Connector,https://www.lowes.com/pd/Utilitech-22-16-Ring-Red-20-Count/5017987455,2,$4.98
16 AWG Fuse Holder,https://www.lowes.com/pd/Unique-Bargains-Fuse-Holder-In-line-16AWG-Waterproof-Fuse-Holder-Black-for-ATC-ATO-Fuse/9307036,1,$9.99
